
    |           BAT_NAME|     RA|    DEC|    SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
    |                   |    deg|    deg|       |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log[e|           |           |                     
   1|SWIFT J0001.0-0708 |  0.261| -7.123|   6.10|2MASX J00004876-0709117       |                               |  0.2032| -7.1532|   13.03|    9.05|   17.56| 0.00|2.17|1.75|2.69|      0.60| 0.0000| NULL|          0|          2|Galaxy               
   2|SWIFT J0001.6-7701 |  0.326|-77.001|   5.41|Fairall 1203                  |                               |  0.4419|-76.9540|   10.10|    6.61|   14.08| 0.00|2.02|1.54|2.60|      0.70| 0.0584|43.92|          0|          4|Sy1                  
   3|SWIFT J0002.5+0323 |  0.664|  3.332|   5.10|NGC 7811                      |                               |  0.6103|  3.3519|   11.69|    7.36|   16.64| 0.00|1.82|1.31|2.39|      0.50| 0.0255|43.24|          0|          4|Sy1.5                
   4|SWIFT J0003.3+2737 |  0.862| 27.676|   5.03|2MASX J00032742+2739173       |                               |  0.8643| 27.6548|   13.00|    8.76|   17.70| 0.00|1.66|1.25|2.12|      1.00|-1.0000| NULL|          0|          2|Galaxy               
   5|SWIFT J0005.0+7021 |  1.011| 70.327|   7.20|2MASX J00040192+7019185       |IGR J00040+7020                |  1.0082| 70.3217|   12.67|    9.38|   16.33| 0.00|2.19|1.83|2.61|      0.70| 0.0960|44.47|          0|          5|Sy2                  
   6|SWIFT J0006.2+2012 |  1.580| 20.178|  10.04|Mrk 335                       |                               |  1.5813| 20.2029|   18.43|   14.79|   22.42| 0.00|2.32|2.03|2.65|      0.30| 0.0258|43.45|          4|          4|Sy1.2                
   7|SWIFT J0009.4-0037 |  2.316| -0.575|   4.99|2MASX J00091156-0036551       |                               |  2.2982| -0.6152|    9.26|    5.31|   13.99| 0.00|2.14|1.52|2.97|      0.40| 0.0733|44.08|          0|          5|Sy2                  
   8|SWIFT J0010.5+1057 |  2.612| 10.953|  13.35|Mrk 1501                      |                               |  2.6292| 10.9749|   31.37|   26.89|   36.08| 0.00|1.87|1.68|2.07|      0.90| 0.0893|44.80|          0|          4|Sy1.2                
   9|SWIFT J0017.1+8134 |  4.268| 81.567|   6.58|[HB89] 0014+813               |                               |  4.2853| 81.5856|   10.12|    7.16|   13.58| 0.00|2.53|2.04|3.14|      1.60| 3.3660|48.01|          0|          8|QSO/FSRQ             
  10|SWIFT J0021.2-1909 |  5.305|-19.151|   8.54|2MASX J00210753-1910056       |PKS 0018-19                    |  5.2814|-19.1682|   17.28|   13.33|   21.64| 0.00|2.06|1.76|2.41|      0.80| 0.0956|44.60|          0|          5|Sy2                  
  11|SWIFT J0023.2+6142 |  5.801| 61.696|   6.21|IGR J00234+6141               |                               |  5.7000| 61.6600|    8.43|    6.23|   11.00| 0.00|3.04|2.54|3.68|      1.70| 0.0000| NULL|          4|          9|CV                   
  12|SWIFT J0025.2+6410 |  6.300| 64.169|   9.68|Tycho SNR                     |                               |  6.2840| 64.1650|   12.41|   10.19|   14.97| 0.00|3.39|2.94|3.95|      2.50| 0.0000| NULL|          0|         11|SNR                  
  13|SWIFT J0025.8+6818 |  6.477| 68.384|   7.45|2MASX J00253292+6821442       |                               |  6.3870| 68.3623|   18.24|   13.89|   22.94| 0.00|1.65|1.32|2.00|      0.40| 0.0120|42.77|          0|          5|Sy2                  
  14|SWIFT J0026.5-5308 |  6.701|-53.153|   6.61|2MASX J00264073-5309479       |                               |  6.6695|-53.1633|   14.16|   10.20|   18.52| 0.00|1.78|1.40|2.20|      0.70| 0.0629|44.13|          0|          4|Sy1.2                
  15|SWIFT J0028.9+5917 |  7.159| 59.271|  48.43|V709 Cas                      |RX J0028.8+5917                |  7.2036| 59.2894|   74.72|   71.72|   77.78| 0.00|2.51|2.45|2.57|     17.40| 0.0000| NULL|          0|          9|CV/DQ Her            
  16|SWIFT J0029.2+1319 |  7.308| 13.318|   6.79|[HB89] 0026+129               |                               |  7.3067| 13.2675|   12.50|    8.92|   16.55| 0.00|2.25|1.85|2.76|      0.50| 0.1420|44.83|          0|          8|Sy1/RQQ              
  17|SWIFT J0030.0-5904 |  7.667|-59.065|   6.62|SWIFT J0030.0-5904            |SWIFT J003001.7-590246         |  7.7138|-59.0768|   14.20|   10.33|   18.45| 0.00|1.75|1.38|2.14|      0.30|-1.0000| NULL|          6|          0|transient            
  18|SWIFT J0033.6+6127 |  8.403| 61.448|   7.66|2MASX J00331831+6127433       |IGR J00333+6122                |  8.3266| 61.4620|   14.11|   10.69|   17.91| 0.01|2.14|1.79|2.53|      1.00| 0.1050|44.60|          0|          4|Sy1.5                
  19|SWIFT J0034.5-7904 |  8.626|-79.060|   5.04|2MASX J00341665-7905204       |                               |  8.5697|-79.0890|    6.73|    4.44|    9.59| 0.00|2.98|2.33|3.90|      1.30| 0.0740|43.96|          0|          4|Sy1                  
  20|SWIFT J0034.6-0422 |  8.633| -4.407|   7.10|2MASX J00343284-0424117       |                               |  8.6368| -4.4033|   16.38|   12.14|   21.04| 0.00|1.89|1.55|2.27|      0.80| 0.0740|44.34|          0|          6|Galaxy               
  21|SWIFT J0036.0+5951 |  8.965| 59.844|  17.54|QSO B0033+595                 |1ES 0033+595                   |  8.9694| 59.8346|   24.83|   22.22|   27.61| 0.00|2.87|2.68|3.09|      0.80| 0.0860|44.66|          0|          7|BL Lac               
  22|SWIFT J0036.3+4540 |  9.082| 45.635|   7.24|CGCG 535-012                  |                               |  9.0874| 45.6650|   15.58|   11.71|   19.83| 0.00|1.80|1.48|2.15|      1.80| 0.0476|43.92|          0|          4|Sy1.2                
  23|SWIFT J0037.2+6123 |  9.331| 61.342|   9.68|BD +60 73                     |IGR J0370+6122                 |  9.2902| 61.3601|   17.29|   13.96|   20.89| 0.00|2.29|2.01|2.61|      2.70| 0.0000| NULL|          4|         13|HMXB                 
  24|SWIFT J0038.4+2337 |  9.647| 23.599|   9.28|Mrk 344                       |                               |  9.6339| 23.6133|   18.97|   14.88|   23.42| 0.00|1.99|1.70|2.32|      0.20| 0.0249|43.43|          0|          2|Galaxy               
  25|SWIFT J0041.0+2444 | 10.143| 24.797|   5.23|SWIFT J004039.9+244539        |NVSS J004040+244535            | 10.1668| 24.7615|    7.67|    4.88|   11.13| 0.00|2.69|2.08|3.56|      0.50|-1.0000| NULL|          0|          0|SRC/Radio            
  26|SWIFT J0041.9-0921 | 10.463| -9.350|   5.57|ABELL 85                      |                               | 10.4075| -9.3425|    5.96|    4.16|    8.27| 0.00|4.63|3.40|6.97|      0.40| 0.0551|43.63|          4|          3|Galaxy Cluster       
  27|SWIFT J0042.6+4112 | 10.656| 41.195|   6.83|SWIFT J0042.7+4111            |                               | 10.6679| 41.2002|    9.65|    7.04|   12.75| 0.00|2.97|2.44|3.69|      1.60|-1.0000| NULL|          7|          0|in M31               
  28|SWIFT J0042.9-2332 | 10.709|-23.551|  21.92|NGC 235A                      |                               | 10.7200|-23.5410|   47.65|   43.30|   52.15| 0.00|1.86|1.75|1.99|      2.10| 0.0222|43.73|          0|          4|Sy1                  
  29|SWIFT J0042.9+3016A| 10.746| 30.259|   7.14|2MASX J00430184+3017195       |IRAS F00403+3000               | 10.7578| 30.2888|    7.72|    0.00|    0.00| 0.62|2.75|0.00|0.00|      0.40|-1.0000| NULL|          0|          2|Galaxy               
  30|SWIFT J0042.9+3016B| 10.746| 30.259|   7.14|2MASX J00423991+3017515       |                               | 10.6663| 30.2976|   10.31|    0.00|    0.00| 1.17|0.96|0.00|0.00|      0.30| 0.1408|44.74|          0|          8|Sy1                  
  31|SWIFT J0042.9-1135 | 10.750|-11.569|   4.82|MCG -02-02-095                |                               | 10.7865|-11.6010|    8.95|    5.37|   13.19| 0.00|2.23|1.67|3.00|      0.80| 0.0189|42.86|          0|          5|Sy2                  
  32|SWIFT J0046.2-4008 | 11.544|-40.094|   7.72|ESP 39607                     |                               | 11.5860|-40.0970|   12.98|    9.48|   16.88| 0.00|2.04|1.68|2.45|      0.90| 0.2013|45.18|          0|          2|Galaxy               
  33|SWIFT J0048.8+3155 | 12.217| 31.961|  73.93|Mrk 348                       |                               | 12.1964| 31.9570|  156.04|  151.87|  160.25| 0.00|1.90|1.86|1.93|      6.90| 0.0150|43.90|          0|          5|Sy2/FSRQ             
  34|SWIFT J0051.6+2928 | 12.899| 29.471|   5.50|MCG +05-03-013                |                               | 12.8959| 29.4013|    9.81|    6.20|   14.07| 0.00|2.18|1.64|2.90|      1.10| 0.0360|43.47|          0|          4|Sy1.0                
  35|SWIFT J0051.8-7320 | 12.904|-73.282|  10.24|RX J0052.1-7319               |2E 0050.4-7335                 | 13.0921|-73.3181|   15.55|   12.56|   18.84| 0.00|2.53|2.22|2.87|      1.50| 0.0000| NULL|          0|         13|HMXB                 
  36|SWIFT J0051.9+1724 | 12.965| 17.425|  15.73|Mrk 1148                      |                               | 12.9783| 17.4329|   29.70|   25.89|   33.71| 0.00|2.17|1.99|2.36|      1.40| 0.0640|44.47|          0|          4|Sy1                  
  37|SWIFT J0052.3-2730 | 13.044|-27.467|   5.03|2MASX J00520383-2723488       |                               | 13.0158|-27.3969|    8.21|    4.65|   12.69| 0.00|2.16|1.51|3.02|      2.00| 0.0000| NULL|          0|          2|Galaxy               
  38|SWIFT J0053.3-7224 | 13.330|-72.399|   5.06|RX J0053.8-7226               |                               | 13.4790|-72.4460|    9.40|    6.10|   13.15| 0.00|2.09|1.63|2.67|      2.20| 0.0000| NULL|          4|         13|HMXB                 
  39|SWIFT J0054.9+2524 | 13.719| 25.403|   6.81|[HB89] 0052+251               |                               | 13.7171| 25.4272|   13.70|    9.84|   18.04| 0.00|1.93|1.56|2.35|      0.90| 0.1550|44.95|          0|          4|Sy1.2                
  40|SWIFT J0055.4+4612 | 13.816| 46.219|  15.41|1RXS J005528.0+461143         |                               | 13.8329| 46.2158|   20.62|   18.10|   23.35| 0.00|2.99|2.75|3.26|      2.30| 0.0000| NULL|          0|          9|CV/DQ Her            
  41|SWIFT J0056.7+6043 | 14.190| 60.720|  64.14|Gamma Cas                     |4U 0054+60                     | 14.1772| 60.7167|   83.29|   81.07|   85.55| 0.00|3.35|3.29|3.42|      8.80| 0.0000| NULL|          1|         12|Star/Be              
  42|SWIFT J0057.0+6405 | 14.316| 64.026|   5.48|NVSS J005712+635942           |                               | 14.3036| 63.9952|   10.16|    6.91|   13.83| 0.00|2.11|1.68|2.62|      1.40|-1.0000| NULL|          0|          0|SRC/RADIO            
  43|SWIFT J0059.4+3150 | 14.990| 31.814|  14.43|Mrk 352                       |                               | 14.9720| 31.8269|   29.98|   25.84|   34.32| 0.00|1.94|1.76|2.14|      0.50| 0.0149|43.17|          0|          4|Sy1                  
  44|SWIFT J0100.9-4750 | 15.193|-47.878|   9.36|ESO 195-IG 021 NED03          |                               | 15.1457|-47.8676|   16.30|   12.68|   20.24| 0.00|2.00|1.70|2.33|      0.60| 0.0483|43.95|          0|          5|Sy1.8                
  45|SWIFT J0101.5-0308 | 15.362| -3.150|   5.27|2MASX J01012440-0308399       |SWIFT J0101.3-0306             | 15.3517| -3.1445|   10.34|    6.39|   15.08| 0.00|2.09|1.55|2.81|      0.70| 0.0694|44.08|          0|          5|Sy1.8                
  46|SWIFT J0102.6-7242A| 15.739|-72.745|   8.96|SMC 59977                     |IGR J01054-7253                | 16.1725|-72.9013|    4.90|    2.79|    7.33| NULL|2.99|2.31|4.16|      2.00| 0.0000| NULL|          4|         13|HMXB in SMC          
  47|SWIFT J0102.6-7242B| 15.739|-72.745|   8.96|XTE J0103-728                 |                               | 15.7212|-72.7425|   12.13|    9.90|   14.62| 0.00|3.16|2.79|3.62|      1.20| 0.0000| NULL|          0|         13|HMXB                 
  48|SWIFT J0103.8-6437 | 15.958|-64.615|   5.33|PKS 0101-649                  |                               | 15.8904|-64.6521|   11.27|    7.21|   15.84| 0.00|1.62|1.12|2.17|      0.80| 0.1630|44.92|          0|          8|FSRQ                 
  49|SWIFT J0105.5-4213 | 16.369|-42.167|   6.22|MCG -07-03-007                |                               | 16.3617|-42.2162|   11.97|    8.14|   16.25| 0.00|1.75|1.33|2.21|      0.70| 0.0302|43.40|          0|          5|Sy2                  
