#Date and Time (UTC) Zenith(deg) E(EeV) RA(deg) DEC(deg)
2008 Jun 10 17:05:37 46.91 88.8 93.50 20.82
2008 Jun 25 19:45:52 31.98 82.6 68.86 19.20
2008 Jun 29 08:22:45 41.20 101.4 285.74 −1.69
2008 Jul 15 05:26:31 34.26 57.3 308.45 53.91
2008 Jul 20 04:35:32 25.61 120.3 285.46 33.62
2008 Aug 01 23:01:33 39.43 139.0 152.27 11.10
2008 Aug 09 06:16:16 14.54 76.9 280.28 41.34
2008 Aug 10 12:45:04 38.04 122.2 347.73 39.46
2008 Sep 24 20:09:22 23.16 68.8 178.03 20.29
2008 Oct 08 18:20:16 24.69 69.1 154.49 26.50
2008 Oct 30 17:30:35 27.45 79.3 152.44 45.84
2008 Nov 08 14:30:41 15.16 59.2 139.66 28.72
2008 Dec 30 10:49:32 4.11 59.7 152.30 36.45
2009 Jan 22 22:54:22 31.27 57.9 311.15 51.06
2009 Feb 12 01:00:17 41.63 64.2 22.49 80.07
2009 Mar 28 04:36:08 34.48 80.7 99.16 62.77
2009 Mar 29 03:43:34 20.84 75.0 119.62 59.19
2009 Apr 28 19:22:32 20.68 64.5 61.60 42.91
2009 May 19 02:19:52 42.51 64.2 206.74 24.93
2009 Jun 14 01:33:00 52.23 62.5 235.00 27.63
2009 Jul 13 04:38:52 40.41 154.3 239.85 −0.41
2009 Aug 14 10:26:17 45.02 59.5 305.06 44.36
2009 Aug 15 08:54:55 23.27 65.2 331.65 18.85
2009 Sep 19 08:45:52 34.07 61.7 56.47 64.36
2009 Oct 21 10:49:42 4.38 66.5 82.19 43.12
2009 Nov 26 12:33:08 16.61 64.0 120.03 46.05
2010 Jan 08 07:17:31 19.04 57.6 128.77 44.51
2010 Jan 21 03:53:51 23.55 61.2 78.79 61.43
2010 Feb 22 07:10:34 11.58 63.7 139.13 49.62
2010 Feb 26 00:11:32 15.83 65.2 25.28 43.99
2010 Jul 11 03:01:45 44.90 58.0 212.37 −4.78
2010 Jul 14 17:06:43 51.15 92.2 144.59 40.66
2010 Aug 05 19:44:07 45.54 67.1 115.13 −1.45
2010 Aug 29 21:20:45 36.12 68.9 137.13 41.50
2010 Aug 30 20:50:45 19.60 93.5 204.00 45.18
2010 Sep 16 20:26:32 49.72 60.5 129.28 29.13
2010 Sep 19 07:05:00 23.66 66.3 19.29 32.26
2010 Sep 21 20:37:06 20.56 162.2 205.08 20.05
2011 Jan 05 00:56:23 8.93 67.4 359.91 31.47
2011 Jan 08 18:40:41 15.88 124.8 295.61 43.53
2011 Feb 28 16:16:26 38.94 135.5 288.30 0.34
2011 Apr 17 20:20:29 34.09 74.7 82.50 57.70
2011 Jul 13 19:12:34 42.73 65.4 87.59 81.53
2011 Jul 18 22:16:57 54.23 73.9 118.41 −1.37
2011 Jul 22 22:15:41 10.64 62.3 163.67 28.92
2011 Jul 24 23:17:22 35.99 61.2 197.78 7.74
2011 Jul 28 15:21:08 19.18 89.3 39.98 34.17
2011 Aug 21 04:52:22 48.34 69.2 218.81 54.11
2011 Aug 25 22:05:12 23.98 83.3 168.48 57.92
2011 Aug 28 21:14:19 31.69 63.3 153.21 19.83
2011 Sep 10 21:16:00 44.24 78.8 133.62 48.55
2011 Oct 03 17:23:40 22.03 72.6 161.74 17.39
2011 Oct 21 06:33:06 15.71 78.7 31.32 49.49
2011 Oct 22 21:23:09 12.68 57.6 253.12 46.43
2011 Nov 09 16:51:22 24.30 72.9 156.84 38.82
2011 Nov 17 14:50:55 26.16 81.6 132.97 52.63
2011 Nov 19 22:39:41 38.07 57.4 319.95 15.87
2012 Jan 05 16:31:21 18.36 91.8 226.68 24.50
2012 Mar 13 02:54:54 25.25 60.3 123.94 22.52
2012 Apr 11 06:20:45 29.10 101.0 219.66 38.46
2012 May 04 00:18:13 24.42 76.9 134.84 59.83
2012 Aug 19 00:11:20 18.78 75.6 210.35 57.55
2012 Sep 07 22:30:26 38.79 57.8 158.60 60.26
2012 Sep 18 09:00:34 28.61 59.0 355.95 64.19
2012 Sep 27 13:51:05 45.68 57.4 159.75 35.56
2012 Nov 01 09:06:32 46.60 60.5 47.71 −4.66
2013 Jan 03 09:56:20 54.73 68.2 66.42 39.00
2013 Mar 14 23:56:46 28.99 98.5 36.26 17.87
2013 Mar 21 22:45:18 26.91 106.8 37.59 13.89
2013 Apr 08 03:55:10 49.65 66.8 218.49 62.54
2013 Apr 22 01:13:31 36.20 62.5 165.28 52.35
2013 Apr 28 17:05:20 38.73 68.5 47.08 31.32
