

Results from heasarc_veroncat: Veron Catalog of Quasars & AGN, 13th Edition
Coordinate system:  Equatorial
|name             |redshift|object_type|lii     |bii     |broad_type|class           |
|NGC  185         |   0.000|S2         |120.7902|-14.4826|QSO       |  SEYFERT TYPE 2|
|NGC 3031         |   0.000|S3b        |142.0918| 40.9001|QSO       |           LINER|
|M 31             |   0.000|S2         |121.1742|-21.5726|QSO       |  SEYFERT TYPE 2|
|NGC 4639         |   0.001|S1.0       |294.2973| 75.9849|AGN       |  SEYFERT TYPE 1|
|SDSS J14023+5420 |   0.001|S1         |102.2309| 59.8514|AGN       |  SEYFERT TYPE 1|
|NGC 4826         |   0.001|S          |315.6914| 84.4235|AGN       |         SEYFERT|
|NGC  625         |   0.001|H2         |273.6733|-73.1204|AGN       |AGN UNCLASSIFIED|
|NGC 4395         |   0.001|S1.8       |162.0950| 81.5331|AGN       |  SEYFERT TYPE 2|
|Circinus         |   0.001|S1h        |311.3261| -3.8069|AGN       |  SEYFERT TYPE 1|
|NGC 5253         |   0.001|H2         |314.8604| 30.1060|AGN       |AGN UNCLASSIFIED|
|NGC 5194         |   0.001|S2         |104.8531| 68.5615|AGN       |  SEYFERT TYPE 2|
|PC 1311+4635     |   0.001|H2         |111.6281| 70.3187|AGN       |AGN UNCLASSIFIED|
|NGC 5128         |   0.001|B?         |309.5175| 19.4195|BLLAC     |          BL LAC|
|NGC  404         |   0.001|S3         |127.0352|-27.0101|AGN       |           LINER|
|NGC 4550         |   0.001|S3         |288.0937| 74.6319|AGN       |           LINER|
|NGC  253         |   0.001|S          | 97.3790|-87.9640|AGN       |         SEYFERT|
|NGC 3738         |   0.001|H2         |144.5594| 59.3112|AGN       |AGN UNCLASSIFIED|
|NGC 4736         |   0.001|S          |123.3678| 76.0083|AGN       |         SEYFERT|
|NGC 4552         |   0.001|S2         |287.9353| 74.9670|AGN       |  SEYFERT TYPE 2|
|NGC 4258         |   0.002|S2         |138.3204| 68.8421|AGN       |  SEYFERT TYPE 2|
